西二旗 生命科学园
生命科学园 朱辛庄
朱辛庄 巩华城
巩华城 沙河
沙河 沙河高教园
沙河高教园 南邵
南邵 北邵洼
北邵洼 昌平东关
昌平东关 昌平
昌平 十三陵景区
十三陵景区 昌平西山口
亦庄火车站 次渠
次渠 次渠南
次渠南 经海路
经海路 同济南路
同济南路 荣昌东街
荣昌东街 荣京东街
荣京东街 万源街
万源街 亦庄文化园
亦庄文化园 亦庄桥
亦庄桥 旧宫
旧宫 小红门
小红门 肖村
肖村 宋家庄
阎村东 苏庄
苏庄 良乡南关
良乡南关 良乡大学城西
良乡大学城西 良乡大学城
良乡大学城 良乡大学城北
良乡大学城北 广阳城
广阳城 篱笆房
篱笆房 长阳
长阳 稻田
稻田 大葆台
大葆台 郭公庄
T2航站楼 T3航站楼
T3航站楼 三元桥
三元桥 T2航站楼
三元桥 东直门
石厂 小园
小园 栗园庄
栗园庄 上岸
上岸 桥户营
桥户营 四道桥
四道桥 金安桥
燕山 房山城关
房山城关 饶乐府
饶乐府 马各庄
马各庄 大石河东
大石河东 星城
星城 阎村
阎村 紫草坞
紫草坞 阎村东
香山 植物园
植物园 万安
万安 茶棚
茶棚 颐和园西门
颐和园西门 巴沟
